,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
129251,gdb_129252,N=C1OCC2=C1ON=C2,3.42254,1.67692,1.13352,4.5643,67.77,-0.262,-0.0572,0.2048,972.8206,0.091971,-452.735916,-452.729598,-452.728654,-452.766782,24.11
46206,gdb_46207,O=C1CCC11C2CCN12,3.00351,1.58602,1.24538,1.9055,77.52,-0.2402,-0.0312,0.2091,1039.1092,0.147846,-401.90906,-401.901322,-401.900377,-401.941536,29.799
50592,gdb_50593,O=CC1CCC2OCC12,3.11416,1.26756,1.03765,1.6498,75.15,-0.2483,-0.0267,0.2215,1166.1361,0.16048,-423.030316,-423.022409,-423.021465,-423.063428,29.829
38545,gdb_38546,C1C2C3N=C4OC1C4C23,3.12126,2.32028,1.94917,3.6237,69.65,-0.2277,-0.0211,0.2066,763.5215,0.12769,-400.695008,-400.689538,-400.688594,-400.724434,24.179
62819,gdb_62820,CC1(O)C2CC1(O2)C#C,2.37047,1.5417,1.35971,1.7895,76.02,-0.2495,0.0074,0.2569,1039.3059,0.133262,-421.725719,-421.717304,-421.71636,-421.75831,33.112
84170,gdb_84171,CC1=CN(C(=O)OC1)C,2.98866,1.36443,0.96322,4.4884,77.5,-0.2127,0.004,0.2167,1218.6691,0.147539,-439.140282,-439.131201,-439.130256,-439.174621,32.318
88110,gdb_88111,CN1CC11COC=NC1,2.8541,1.46427,1.24798,2.7784,76.24,-0.2279,0.0265,0.2544,1075.5431,0.16057,-419.183124,-419.174949,-419.174005,-419.215837,31.141
86982,gdb_86983,CC1CC(CCC#C)O1,4.27034,0.69008,0.66468,1.9752,85.68,-0.2459,0.0604,0.3064,1761.8615,0.180376,-387.050923,-387.041004,-387.04006,-387.086672,36.309
45940,gdb_45941,N=C1OCC(=O)C11CO1,2.31264,2.0181,1.16837,2.5131,64.3,-0.2626,-0.0665,0.1961,986.3012,0.100316,-473.821199,-473.81365,-473.812706,-473.85372,27.628
57326,gdb_57327,CC(C)(O)C(C#C)C#N,1.83037,1.63257,1.07635,4.6341,77.35,-0.2832,0.0133,0.2965,1178.3146,0.143112,-401.929183,-401.918702,-401.917758,-401.964118,38.189
76133,gdb_76134,CC1(C)C(O)C1C(N)=O,2.27797,1.32263,1.1285,4.5399,77.25,-0.2311,0.0147,0.2458,1205.6854,0.169083,-440.318127,-440.308038,-440.307093,-440.352639,37.598
1433,gdb_1434,CC#CC(=O)OC,8.61868,1.21327,1.07791,2.2415,61.53,-0.2644,-0.0302,0.2341,1066.4659,0.099338,-344.459234,-344.450882,-344.449937,-344.49433,26.489
131487,gdb_131488,OC1CC1C1=NNC=N1,3.90402,1.21892,1.05565,3.3321,71.13,-0.2316,-0.0031,0.2285,1123.994,0.126839,-434.074465,-434.067059,-434.066115,-434.106718,28.419
19826,gdb_19827,OC1CC2C3CN3C12,3.51946,2.24245,1.85652,2.9074,66.62,-0.219,0.0547,0.2736,772.0198,0.143524,-363.776906,-363.770312,-363.769368,-363.80722,26.727
116063,gdb_116064,CCC1CC(=O)OCO1,3.5821,1.05194,0.84913,3.8449,72.15,-0.2654,0.0072,0.2725,1355.6293,0.159402,-460.209047,-460.200257,-460.199313,-460.243047,32.161
51420,gdb_51421,O=COC1C2C=CC1O2,4.27236,1.05195,0.99548,1.9391,66.61,-0.2551,-0.0167,0.2384,1176.2844,0.112123,-457.725354,-457.718069,-457.717125,-457.758085,27.092
99767,gdb_99768,COC(C(C)C)C(C)O,1.793,1.35654,0.91847,1.3768,85.02,-0.246,0.0762,0.3221,1427.1089,0.225666,-426.624381,-426.612686,-426.611742,-426.660942,42.818
39473,gdb_39474,C1CCC2OC(C1)C=C2,2.28037,2.02982,1.4695,1.3944,81.83,-0.232,0.0165,0.2485,993.8246,0.18643,-387.111341,-387.104128,-387.103184,-387.142511,30.227
8664,gdb_8665,CCC(C)(C=O)C=O,2.18021,1.79297,1.42158,3.5558,68.24,-0.2521,-0.0396,0.2125,1003.3729,0.149653,-384.961748,-384.952085,-384.95114,-384.996558,33.361
126751,gdb_126752,CCn1cnoc1=NC,2.11762,1.61604,0.98684,3.5546,76.6,-0.2132,0.0052,0.2183,1220.9589,0.147074,-435.257581,-435.248246,-435.247302,-435.292936,32.407
24669,gdb_24670,C1OC1C1=NC=CC=N1,4.6165,1.19533,1.01301,2.8556,74.75,-0.2544,-0.044,0.2105,1134.1548,0.114979,-416.834023,-416.827055,-416.826111,-416.866022,25.949
